,Name,Location,Year,Kilometers_Driven,Fuel_Type,Transmission,Owner_Type,Mileage,Engine,Power,Seats,New_Price,Price,Brand,Model,Age,new_price_num
1888,Volkswagen Ameo 1.5 TDI Highline AT,Coimbatore,2017,22440,Diesel,Automatic,3,22.0,1498.0,108.495,5.0,,8.89,Volkswagen,Ameo 1.5,3,
1889,Honda City i VTEC SV,Mumbai,2015,73070,Petrol,Manual,3,17.4,1497.0,117.3,5.0,,5.9,Honda,City i,5,
1890,Honda Jazz 1.2 S i VTEC,Kolkata,2016,21771,Petrol,Manual,3,18.7,1199.0,88.7,5.0,,4.95,Honda,Jazz 1.2,4,
1891,Maruti Swift Ldi BSIV,Delhi,2014,62000,Diesel,Manual,3,17.8,1248.0,75.0,5.0,,3.75,Maruti,Swift Ldi,6,
1892,Hyundai Creta 1.6 CRDi AT SX Plus,Kochi,2017,37024,Diesel,Automatic,3,17.01,1582.0,126.2,5.0,,10.97,Hyundai,Creta 1.6,3,
1893,Audi A7 2011-2015 3.0 TDI Quattro,Kochi,2014,60336,Diesel,Automatic,2,14.4,2967.0,241.4,5.0,,24.94,Audi,A7 2011-2015,6,
1894,Hyundai EON D Lite Plus,Kolkata,2014,26008,Petrol,Manual,3,21.1,814.0,55.2,5.0,,1.97,Hyundai,EON D,6,
1895,Ford Figo Diesel EXI,Jaipur,2010,90000,Diesel,Manual,2,20.0,1399.0,68.0,5.0,,1.4,Ford,Figo Diesel,10,
1896,Volkswagen Ameo 1.2 MPI Highline,Coimbatore,2018,35569,Petrol,Manual,3,17.0,1198.0,73.75,5.0,8.68 Lakh,7.27,Volkswagen,Ameo 1.2,2,8.68
1897,Renault Scala Diesel RxL,Kolkata,2013,40000,Diesel,Manual,3,21.64,1461.0,84.8,5.0,,4.0,Renault,Scala Diesel,7,
1898,Honda Jazz 1.2 V i VTEC,Kolkata,2015,45000,Petrol,Manual,3,18.7,1199.0,88.7,5.0,,4.75,Honda,Jazz 1.2,5,
1899,Hyundai i20 1.2 Sportz,Delhi,2015,42000,Petrol,Manual,3,17.0,1197.0,80.0,5.0,,5.1,Hyundai,i20 1.2,5,
1900,Audi A4 3.0 TDI Quattro Premium,Coimbatore,2012,46913,Diesel,Automatic,3,14.94,2967.0,241.4,5.0,,16.11,Audi,A4 3.0,8,
1901,Mahindra Ssangyong Rexton RX7,Delhi,2014,62000,Diesel,Automatic,3,11.18,2696.0,184.0,7.0,,10.55,Mahindra,Ssangyong Rexton,6,
1902,Toyota Fortuner 2.8 2WD AT,Ahmedabad,2017,15000,Diesel,Automatic,3,12.9,2755.0,174.5,7.0,34.45 Lakh,30.0,Toyota,Fortuner 2.8,3,34.45
1903,Skoda Octavia Classic 1.9 TDI MT,Kolkata,2002,69000,Diesel,Manual,3,18.7,1896.0,66.0,5.0,,1.6,Skoda,Octavia Classic,18,
1904,Mercedes-Benz New C-Class 250 CDI Classic,Hyderabad,2012,41367,Diesel,Automatic,3,15.8,2148.0,170.0,5.0,,18.49,Mercedes-Benz,New C-Class,8,
1905,Maruti Ciaz 1.4 Zeta,Kochi,2018,15982,Petrol,Manual,3,20.73,1373.0,91.1,5.0,,9.96,Maruti,Ciaz 1.4,2,
1906,Maruti Swift ZDi,Hyderabad,2013,99595,Diesel,Manual,2,22.9,1248.0,74.0,5.0,,4.75,Maruti,Swift ZDi,7,
1907,Toyota Qualis FS B3,Bangalore,2002,63000,Diesel,Manual,1,13.1,2446.0,75.0,10.0,,3.65,Toyota,Qualis FS,18,
1908,BMW 5 Series 2007-2010 525d Sedan,Delhi,2012,49000,Diesel,Automatic,2,16.73,2495.0,218.0,5.0,,15.5,BMW,5 Series,8,
1909,Mitsubishi Pajero 2.8 SFX BSIII Dual Tone,Kochi,2013,48272,Diesel,Manual,3,10.5,2835.0,116.9,6.0,,11.82,Mitsubishi,Pajero 2.8,7,
1910,Toyota Corolla H2,Delhi,2008,63000,Petrol,Manual,3,13.4,1794.0,125.0,5.0,,2.05,Toyota,Corolla H2,12,
1911,Maruti Wagon R LXI CNG,Ahmedabad,2016,77000,CNG,Manual,3,21.01,998.0,58.16,5.0,,3.3,Maruti,Wagon R,4,
1912,Maruti Omni E MPI STD BS IV,Mumbai,2013,11734,Petrol,Manual,3,16.8,796.0,34.2,8.0,,2.25,Maruti,Omni E,7,
1913,Audi A6 2011-2015 2.0 TDI,Kochi,2014,62012,Diesel,Automatic,3,17.68,1968.0,174.33,5.0,,20.12,Audi,A6 2011-2015,6,
1914,Hyundai Xcent 1.2 Kappa S Option CNG,Chennai,2017,46000,CNG,Manual,3,19.75,1197.0,81.86,5.0,,4.95,Hyundai,Xcent 1.2,3,
1915,Honda Jazz 1.5 S i DTEC,Coimbatore,2016,45449,Diesel,Manual,3,27.3,1498.0,98.6,5.0,,7.48,Honda,Jazz 1.5,4,
1916,Mercedes-Benz E-Class 200 Kompressor Elegance,Mumbai,2004,85000,Petrol,Automatic,2,10.5,1796.0,157.7,5.0,,5.5,Mercedes-Benz,E-Class 200,16,
1917,Honda City 1.5 EXI,Jaipur,2005,88000,Petrol,Manual,2,13.0,1493.0,100.0,,,1.7,Honda,City 1.5,15,
1918,Audi A4 2.0 TDI,Kochi,2013,45330,Diesel,Automatic,3,16.55,1968.0,147.51,5.0,,13.19,Audi,A4 2.0,7,
1919,Maruti Swift Dzire VXI,Mumbai,2012,88000,Petrol,Manual,3,19.1,1197.0,85.8,5.0,,3.85,Maruti,Swift Dzire,8,
1920,Maruti Dzire VDI,Delhi,2016,45376,Diesel,Manual,3,28.4,1248.0,73.75,5.0,8.58 Lakh,5.75,Maruti,Dzire VDI,4,8.58
1921,Mahindra XUV500 W8 4WD,Pune,2014,81000,Diesel,Manual,3,15.1,2179.0,140.0,7.0,,9.0,Mahindra,XUV500 W8,6,
1922,Chevrolet Beat LT,Kochi,2012,83381,Petrol,Manual,3,18.6,1199.0,79.4,5.0,,2.21,Chevrolet,Beat LT,8,
1923,Ford EcoSport 1.5 Diesel Titanium Plus,Kochi,2017,78526,Diesel,Manual,3,23.0,1498.0,98.96,5.0,12.67 Lakh,8.09,Ford,EcoSport 1.5,3,12.67
1924,BMW 5 Series 2013-2017 530d M Sport,Coimbatore,2017,27313,Diesel,Automatic,3,14.69,2993.0,258.0,5.0,,48.63,BMW,5 Series,3,
1925,Audi Q5 30 TDI quattro Premium Plus,Coimbatore,2015,42747,Diesel,Automatic,2,14.16,1968.0,174.3,5.0,,39.47,Audi,Q5 30,5,
1926,BMW X1 sDrive 20d xLine,Coimbatore,2015,42265,Diesel,Automatic,2,20.68,1995.0,190.0,5.0,48.18 Lakh,22.24,BMW,X1 sDrive,5,48.18
1927,Hyundai i10 Magna AT,Mumbai,2009,21000,Petrol,Automatic,3,19.2,1197.0,80.0,5.0,,2.6,Hyundai,i10 Magna,11,
1928,Hyundai Creta 1.6 CRDi AT SX Plus,Ahmedabad,2016,55100,Diesel,Automatic,3,17.01,1582.0,126.2,5.0,,12.0,Hyundai,Creta 1.6,4,
1929,Audi A4 2.0 TDI 177 Bhp Premium Plus,Chennai,2014,70000,Diesel,Automatic,3,17.11,1968.0,174.33,5.0,,18.0,Audi,A4 2.0,6,
1930,Mercedes-Benz S Class 2005 2013 S 350 L,Mumbai,2007,55000,Petrol,Automatic,1,10.13,3498.0,364.9,5.0,,9.99,Mercedes-Benz,S Class,13,
1931,Hyundai i10 Magna,Kolkata,2012,58235,Petrol,Manual,3,20.36,1197.0,78.9,5.0,,2.45,Hyundai,i10 Magna,8,
1932,Ford EcoSport 1.5 Diesel Titanium,Mumbai,2017,26000,Diesel,Manual,3,23.0,1498.0,98.96,5.0,11.89 Lakh,8.99,Ford,EcoSport 1.5,3,11.89
1933,Volkswagen Vento Diesel Highline,Kolkata,2011,35000,Diesel,Manual,3,20.54,1598.0,103.6,5.0,,3.15,Volkswagen,Vento Diesel,9,
1934,Maruti Dzire ZDI Plus,Jaipur,2017,24000,Diesel,Manual,3,28.4,1248.0,73.75,5.0,10.48 Lakh,8.2,Maruti,Dzire ZDI,3,10.48
1935,Mahindra Scorpio 1.99 S10,Ahmedabad,2016,98000,Diesel,Manual,3,15.4,1997.0,120.0,7.0,,11.5,Mahindra,Scorpio 1.99,4,
1936,Hyundai i20 Asta 1.4 CRDi,Coimbatore,2016,44487,Diesel,Manual,3,22.54,1396.0,88.73,5.0,,7.3,Hyundai,i20 Asta,4,
1937,Maruti Alto LXi,Chennai,2008,65000,Petrol,Manual,3,19.7,796.0,46.3,5.0,,1.59,Maruti,Alto LXi,12,
1938,Hyundai i10 Magna,Delhi,2015,34951,Petrol,Manual,2,20.36,1197.0,78.9,5.0,,3.15,Hyundai,i10 Magna,5,
1939,Mahindra Scorpio S6 7 Seater,Kolkata,2015,52373,Diesel,Manual,2,15.4,2179.0,120.0,7.0,,8.5,Mahindra,Scorpio S6,5,
1940,Skoda Fabia 1.2L Diesel Classic,Hyderabad,2010,66285,Diesel,Manual,3,19.5,1199.0,75.0,5.0,,3.0,Skoda,Fabia 1.2L,10,
1941,BMW X5 xDrive 30d,Mumbai,2012,66000,Diesel,Automatic,3,15.3,2993.0,258.0,5.0,,21.0,BMW,X5 xDrive,8,
1942,Honda Jazz 1.5 S i DTEC,Hyderabad,2016,43000,Diesel,Manual,3,27.3,1498.0,98.6,5.0,,7.75,Honda,Jazz 1.5,4,
1943,Mercedes-Benz E-Class 2009-2013 E 220 CDI Avantgarde,Mumbai,2013,45200,Diesel,Automatic,3,10.0,2148.0,170.0,5.0,,23.0,Mercedes-Benz,E-Class 2009-2013,7,
1944,Mahindra XUV500 AT W10 FWD,Mumbai,2016,41000,Diesel,Automatic,3,16.0,2179.0,140.0,7.0,,13.75,Mahindra,XUV500 AT,4,
1945,Honda City i VTEC CVT SV,Kochi,2017,39430,Petrol,Automatic,3,18.0,1497.0,117.3,5.0,,8.29,Honda,City i,3,
1946,Maruti Swift VDI,Coimbatore,2014,83274,Diesel,Manual,3,22.9,1248.0,74.0,5.0,,5.79,Maruti,Swift VDI,6,
1947,Mercedes-Benz New C-Class 220 CDI AT,Coimbatore,2017,32324,Diesel,Automatic,3,14.84,2143.0,170.0,5.0,,30.5,Mercedes-Benz,New C-Class,3,
1948,Honda City 1.5 S MT,Mumbai,2011,49999,Petrol,Manual,3,17.0,1497.0,118.0,5.0,,3.8,Honda,City 1.5,9,
1949,Tata Sumo EX,Bangalore,2014,66000,Diesel,Manual,3,15.3,2956.0,83.8,7.0,,4.45,Tata,Sumo EX,6,
1950,Hyundai i20 Magna,Delhi,2012,54000,Petrol,Manual,3,18.5,1197.0,82.85,5.0,,3.3,Hyundai,i20 Magna,8,
1951,Fiat Linea 1.3 Dynamic,Jaipur,2009,80000,Diesel,Manual,2,20.4,1248.0,91.2,5.0,,1.75,Fiat,Linea 1.3,11,
1952,Honda Civic 2006-2010 1.8 V AT,Bangalore,2011,72000,Petrol,Automatic,2,12.9,1799.0,130.0,5.0,,5.5,Honda,Civic 2006-2010,9,
1953,Hyundai Creta 1.6 SX Plus Diesel,Pune,2017,44865,Diesel,Manual,3,19.67,1582.0,126.2,5.0,,13.35,Hyundai,Creta 1.6,3,
1954,Audi A3 35 TDI Technology,Delhi,2017,22000,Diesel,Automatic,2,20.38,1968.0,143.0,5.0,,22.5,Audi,A3 35,3,
1955,Hyundai Verna VTVT 1.6 SX Option,Delhi,2013,57478,Petrol,Manual,2,17.0,1591.0,121.3,5.0,13.59 Lakh,5.25,Hyundai,Verna VTVT,7,13.59
1956,Hyundai i20 1.4 CRDi Magna,Hyderabad,2011,75000,Diesel,Manual,3,21.9,1396.0,90.0,5.0,,3.75,Hyundai,i20 1.4,9,
1957,Honda Mobilio S i DTEC,Kochi,2015,50624,Diesel,Manual,3,24.2,1498.0,98.6,7.0,,6.32,Honda,Mobilio S,5,
1958,Hyundai Verna 1.6 SX CRDI (O) AT,Bangalore,2018,75000,Diesel,Automatic,3,22.32,1582.0,126.32,5.0,,7.75,Hyundai,Verna 1.6,2,
1959,Ford Fiesta 1.6 ZXI Duratec,Chennai,2006,87000,Petrol,Manual,2,15.3,1596.0,101.0,5.0,,1.37,Ford,Fiesta 1.6,14,
1960,Hyundai i10 Sportz 1.2,Mumbai,2010,62000,Petrol,Manual,3,20.36,1197.0,78.9,5.0,,2.1,Hyundai,i10 Sportz,10,
1961,Maruti Vitara Brezza ZDi,Hyderabad,2016,41372,Diesel,Manual,3,24.3,1248.0,88.5,5.0,11.02 Lakh,9.3,Maruti,Vitara Brezza,4,11.02
1962,Toyota Innova 2.5 VX (Diesel) 7 Seater,Ahmedabad,2015,70000,Diesel,Manual,3,12.99,2494.0,100.6,7.0,,12.0,Toyota,Innova 2.5,5,
1963,Mercedes-Benz GLA Class 200 d Sport,Pune,2017,35000,Diesel,Automatic,3,17.9,2143.0,136.0,5.0,41.94 Lakh,23.5,Mercedes-Benz,GLA Class,3,41.94
1964,Maruti Alto LXi BSIII,Hyderabad,2006,71993,Petrol,Manual,3,19.7,796.0,46.3,5.0,,1.8,Maruti,Alto LXi,14,
1965,Mercedes-Benz New C-Class C 220 CDI Elegance AT,Chennai,2013,62000,Diesel,Automatic,2,14.84,2143.0,170.0,5.0,,12.5,Mercedes-Benz,New C-Class,7,
1966,Maruti Swift LDI,Delhi,2015,51000,Diesel,Manual,3,22.9,1248.0,74.0,5.0,,4.74,Maruti,Swift LDI,5,
1967,Hyundai Grand i10 Sportz,Kochi,2016,26038,Petrol,Manual,3,18.9,1197.0,82.0,5.0,,5.43,Hyundai,Grand i10,4,
1968,Toyota Fortuner 4x4 AT,Kochi,2018,37713,Diesel,Automatic,2,12.55,2982.0,168.5,7.0,,31.62,Toyota,Fortuner 4x4,2,
1969,Toyota Innova 2.0 GX 8 STR,Kolkata,2011,78088,Petrol,Manual,3,12.4,1998.0,132.0,8.0,,6.3,Toyota,Innova 2.0,9,
1970,Ford EcoSport 1.5 TDCi Titanium,Kochi,2017,30453,Diesel,Manual,3,22.77,1498.0,98.59,5.0,,8.45,Ford,EcoSport 1.5,3,
1971,Ford Figo 1.2P Titanium MT,Pune,2016,54000,Petrol,Manual,3,18.16,1196.0,86.8,5.0,,5.0,Ford,Figo 1.2P,4,
1972,Toyota Fortuner 3.0 Diesel,Chennai,2011,190000,Diesel,Manual,3,11.5,2982.0,171.0,7.0,,13.0,Toyota,Fortuner 3.0,9,
1973,Maruti Swift Dzire VXI,Hyderabad,2012,65097,Petrol,Manual,3,19.1,1197.0,85.8,5.0,,4.7,Maruti,Swift Dzire,8,
1974,BMW 7 Series 740Li,Coimbatore,2018,28060,Petrol,Automatic,3,12.05,2979.0,320.0,5.0,,93.67,BMW,7 Series,2,
1975,Skoda Superb 1.8 TSI MT,Pune,2012,282000,Petrol,Manual,3,13.14,1798.0,160.0,5.0,,3.3,Skoda,Superb 1.8,8,
1976,Maruti Wagon R LXI Minor,Jaipur,2009,111000,Petrol,Manual,2,18.9,1061.0,67.0,5.0,,1.51,Maruti,Wagon R,11,
1977,Renault Duster 110PS Diesel RxZ,Kochi,2013,63295,Diesel,Manual,3,19.01,1461.0,108.45,5.0,,6.09,Renault,Duster 110PS,7,
1978,Maruti Ciaz VXi Plus,Mumbai,2015,35770,Petrol,Manual,3,20.73,1373.0,91.1,5.0,,5.95,Maruti,Ciaz VXi,5,
1979,Hyundai Elantra CRDi SX,Hyderabad,2012,125928,Diesel,Manual,3,22.7,1582.0,126.24,5.0,,9.0,Hyundai,Elantra CRDi,8,
1980,Skoda Rapid 1.5 TDI AT Elegance,Kolkata,2015,45000,Diesel,Automatic,3,21.66,1498.0,103.52,5.0,,4.25,Skoda,Rapid 1.5,5,
1981,Mercedes-Benz New C-Class C 220 CDI Elegance AT,Hyderabad,2013,21000,Diesel,Automatic,3,14.84,2143.0,170.0,5.0,,23.5,Mercedes-Benz,New C-Class,7,
1982,Honda Accord 2.4 A/T,Mumbai,2011,54774,Petrol,Automatic,3,11.7,2354.0,177.6,5.0,,6.35,Honda,Accord 2.4,9,
1983,Maruti Celerio VXI,Chennai,2014,41123,Petrol,Manual,3,23.1,998.0,67.04,5.0,,3.4,Maruti,Celerio VXI,6,
1984,BMW 7 Series 740Li,Bangalore,2017,17465,Petrol,Automatic,3,12.05,2979.0,320.0,5.0,,93.0,BMW,7 Series,3,
1985,BMW 3 Series 320d Sport,Chennai,2014,48000,Diesel,Automatic,3,22.69,1995.0,190.0,5.0,,21.6,BMW,3 Series,6,
1986,Volkswagen Vento Diesel Trendline,Chennai,2011,173000,Diesel,Manual,3,20.54,1598.0,103.6,5.0,,4.0,Volkswagen,Vento Diesel,9,
1987,Maruti Swift Dzire Tour LDI,Pune,2018,12000,Diesel,Manual,3,23.4,1248.0,74.0,5.0,,5.5,Maruti,Swift Dzire,2,
1988,Land Rover Freelander 2 SE,Mumbai,2012,34000,Diesel,Automatic,3,12.39,2179.0,147.51,5.0,,19.25,Land Rover,Rover Freelander,8,
1989,Hyundai i20 1.4 CRDi Magna,Hyderabad,2012,71360,Diesel,Manual,3,21.9,1396.0,90.0,5.0,,3.95,Hyundai,i20 1.4,8,
1990,Maruti Dzire VDI,Mumbai,2012,74000,Diesel,Manual,2,28.4,1248.0,73.75,5.0,8.94 Lakh,4.25,Maruti,Dzire VDI,8,8.94
1991,Jeep Compass 2.0 Longitude,Kochi,2018,28937,Diesel,Manual,3,17.1,1956.0,170.0,5.0,21.38 Lakh,17.02,Jeep,Compass 2.0,2,21.38
1992,Maruti Ertiga VDI,Hyderabad,2012,82085,Diesel,Manual,3,20.77,1248.0,88.76,7.0,,6.5,Maruti,Ertiga VDI,8,
1993,Ford Figo Petrol ZXI,Bangalore,2011,68465,Petrol,Manual,3,15.6,1196.0,70.0,5.0,,2.95,Ford,Figo Petrol,9,
1994,Toyota Corolla Altis 1.4 DG,Coimbatore,2013,63854,Diesel,Manual,3,21.43,1364.0,86.79,5.0,19.27 Lakh,7.12,Toyota,Corolla Altis,7,19.27
1995,Maruti Vitara Brezza ZDi Plus AMT Dual Tone,Chennai,2018,3000,Diesel,Automatic,3,24.3,1248.0,88.5,5.0,12.88 Lakh,11.25,Maruti,Vitara Brezza,2,12.88
1996,Honda City 1.5 S MT,Delhi,2009,65055,Petrol,Manual,3,17.0,1497.0,118.0,5.0,,2.75,Honda,City 1.5,11,
1997,Mahindra Scorpio S10 4WD,Hyderabad,2015,120000,Diesel,Manual,3,15.4,2179.0,120.0,7.0,,12.0,Mahindra,Scorpio S10,5,
1998,Hyundai Xcent 1.2 VTVT SX,Mumbai,2014,64241,Petrol,Manual,3,20.14,1197.0,81.86,5.0,8.27 Lakh,3.67,Hyundai,Xcent 1.2,6,8.27
1999,Mercedes-Benz E-Class 220 CDI,Pune,2001,121000,Diesel,Manual,3,15.0,2148.0,,5.0,,5.0,Mercedes-Benz,E-Class 220,19,
2000,Mahindra Renault Logan 1.4 GLX Petrol,Pune,2008,2200,Petrol,Manual,3,15.7,1390.0,75.0,5.0,,2.3,Mahindra,Renault Logan,12,
2001,Skoda Octavia 1.9 TDI,Pune,2008,88123,Diesel,Manual,3,18.7,1896.0,66.0,5.0,,2.2,Skoda,Octavia 1.9,12,
2002,Mercedes-Benz GL-Class 2007 2012 350 CDI Luxury,Pune,2014,79000,Diesel,Automatic,3,12.0,2987.0,224.0,7.0,,41.0,Mercedes-Benz,GL-Class 2007,6,
2003,BMW X1 sDrive 20d xLine,Bangalore,2016,28143,Diesel,Automatic,3,20.68,1995.0,190.0,5.0,48.18 Lakh,28.5,BMW,X1 sDrive,4,48.18
2004,Volkswagen Vento 2013-2015 1.6 Comfortline,Mumbai,2015,23001,Petrol,Manual,3,15.04,1598.0,103.2,5.0,,5.49,Volkswagen,Vento 2013-2015,5,
2005,Audi A4 2.0 TDI,Ahmedabad,2013,82002,Diesel,Automatic,2,16.55,1968.0,147.51,5.0,,17.5,Audi,A4 2.0,7,
2006,Ford Ikon 1.4 TDCi DuraTorq,Bangalore,2009,75000,Diesel,Manual,3,13.8,1399.0,68.0,5.0,,1.99,Ford,Ikon 1.4,11,
2007,Hyundai Verna 1.6 CRDi EX MT,Kochi,2016,37451,Diesel,Manual,3,22.32,1582.0,126.3,5.0,,6.64,Hyundai,Verna 1.6,4,
2008,Toyota Innova Crysta 2.4 VX MT,Hyderabad,2017,67000,Diesel,Manual,3,13.68,2393.0,147.8,7.0,22.87 Lakh,16.5,Toyota,Innova Crysta,3,22.87
2009,Hyundai Grand i10 Asta Option,Pune,2016,25000,Petrol,Manual,3,18.9,1197.0,82.0,5.0,,5.0,Hyundai,Grand i10,4,
2010,Volkswagen Ameo 1.2 MPI Comfortline,Mumbai,2017,12000,Petrol,Manual,3,17.0,1198.0,73.75,5.0,,5.4,Volkswagen,Ameo 1.2,3,
2011,Renault KWID RXT,Kolkata,2017,25000,Petrol,Manual,3,25.17,799.0,53.3,5.0,,2.99,Renault,KWID RXT,3,
2012,Honda City 1.5 S MT,Jaipur,2011,95936,Petrol,Manual,3,17.0,1497.0,118.0,5.0,,4.1,Honda,City 1.5,9,
2013,Hyundai Grand i10 1.2 Kappa Magna AT,Kochi,2018,5354,Petrol,Automatic,3,18.9,1197.0,81.86,5.0,7.37 Lakh,6.76,Hyundai,Grand i10,2,7.37
2014,Volkswagen Polo 1.0 MPI Comfortline,Chennai,2016,42000,Petrol,Manual,2,18.78,999.0,75.0,5.0,7.33 Lakh,5.5,Volkswagen,Polo 1.0,4,7.33
2015,Maruti Swift VDI BSIV,Coimbatore,2014,44282,Diesel,Manual,3,25.2,1248.0,74.0,5.0,,5.99,Maruti,Swift VDI,6,
2016,Nissan Sunny 2011-2014 Diesel XV,Delhi,2012,70000,Diesel,Manual,3,21.64,1461.0,84.8,5.0,,2.59,Nissan,Sunny 2011-2014,8,
2017,Jaguar XF 2.2 Litre Luxury,Mumbai,2013,31400,Diesel,Automatic,3,16.36,2179.0,187.7,5.0,,26.75,Jaguar,XF 2.2,7,
2018,Maruti Ciaz ZDi SHVS,Pune,2016,50000,Diesel,Manual,3,28.09,1248.0,88.5,5.0,,8.5,Maruti,Ciaz ZDi,4,
2019,Audi Q5 2008-2012 2.0 TDI,Bangalore,2011,53000,Diesel,Automatic,3,12.8,1968.0,167.6,5.0,,23.0,Audi,Q5 2008-2012,9,
2020,Ford Figo Petrol ZXI,Pune,2014,21727,Petrol,Manual,3,15.6,1196.0,70.02,5.0,,3.35,Ford,Figo Petrol,6,
2021,Hyundai Santa Fe 4x4 AT,Bangalore,2012,43000,Diesel,Automatic,2,11.72,2199.0,194.3,7.0,,10.75,Hyundai,Santa Fe,8,
2022,Mahindra Scorpio VLX 2WD AIRBAG BSIV,Kolkata,2013,75000,Diesel,Manual,3,12.05,2179.0,120.0,8.0,,6.29,Mahindra,Scorpio VLX,7,
2023,Renault Duster 110PS Diesel RxL,Bangalore,2014,73557,Diesel,Manual,3,19.6,1461.0,108.45,5.0,,7.75,Renault,Duster 110PS,6,
2024,Audi A4 New 2.0 TDI Multitronic,Delhi,2012,44555,Diesel,Automatic,3,15.2,1968.0,140.8,5.0,,13.5,Audi,A4 New,8,
2025,Maruti Eeco 7 Seater Standard,Coimbatore,2013,54885,Petrol,Manual,3,15.1,1196.0,73.0,7.0,4.98 Lakh,3.75,Maruti,Eeco 7,7,4.98
2026,Mahindra Xylo E4,Mumbai,2011,76000,Diesel,Manual,2,14.0,2498.0,112.0,7.0,,3.75,Mahindra,Xylo E4,9,
2027,Maruti Wagon R LXI,Jaipur,2006,101000,Petrol,Manual,2,18.9,998.0,67.1,5.0,,1.5,Maruti,Wagon R,14,
2028,Maruti Wagon R LXI BSIII,Chennai,2005,66000,Petrol,Manual,3,14.0,1061.0,64.0,5.0,,1.45,Maruti,Wagon R,15,
2029,Maruti SX4 ZXI MT BSIV,Coimbatore,2013,84360,Petrol,Manual,3,15.5,1586.0,103.3,5.0,,4.12,Maruti,SX4 ZXI,7,
2030,Toyota Innova Crysta 2.4 VX MT,Mumbai,2016,25121,Diesel,Manual,3,13.68,2393.0,147.8,7.0,23.06 Lakh,17.11,Toyota,Innova Crysta,4,23.06
2031,Toyota Innova 2.5 G (Diesel) 7 Seater,Pune,2015,100000,Diesel,Manual,2,12.99,2494.0,100.6,7.0,,10.25,Toyota,Innova 2.5,5,
2032,Volkswagen Polo Diesel Trendline 1.2L,Kolkata,2011,66035,Diesel,Manual,3,22.07,1199.0,73.9,5.0,,2.49,Volkswagen,Polo Diesel,9,
2033,Toyota Etios G,Pune,2015,190000,Petrol,Manual,2,16.78,1496.0,88.73,5.0,,3.85,Toyota,Etios G,5,
2034,Ford Ecosport 1.5 DV5 MT Titanium,Hyderabad,2014,85670,Diesel,Manual,3,22.7,1498.0,89.84,5.0,,6.25,Ford,Ecosport 1.5,6,
2035,Hyundai Grand i10 CRDi Magna,Hyderabad,2015,35000,Diesel,Manual,3,24.0,1120.0,70.0,5.0,,4.88,Hyundai,Grand i10,5,
2036,Honda City i VTEC CVT SV,Mumbai,2016,8000,Petrol,Automatic,3,18.0,1497.0,117.3,5.0,,9.45,Honda,City i,4,
2037,Toyota Innova 2.5 G3,Hyderabad,2007,162000,Diesel,Manual,2,12.8,2494.0,102.0,8.0,,4.8,Toyota,Innova 2.5,13,
2038,Hyundai EON Era Plus,Kolkata,2012,60000,Petrol,Manual,3,21.1,814.0,55.2,5.0,,1.99,Hyundai,EON Era,8,
2039,Hyundai i10 Magna 1.2,Hyderabad,2010,70600,Petrol,Manual,3,20.36,1197.0,78.9,5.0,,2.8,Hyundai,i10 Magna,10,
2040,Mercedes-Benz E-Class 2009-2013 E 200 CGI Elegance,Bangalore,2011,25000,Petrol,Automatic,2,12.3,1796.0,185.0,5.0,,22.0,Mercedes-Benz,E-Class 2009-2013,9,
2041,Mahindra Bolero SLE,Hyderabad,2012,75000,Diesel,Manual,3,15.96,2523.0,62.1,7.0,10.32 Lakh,4.3,Mahindra,Bolero SLE,8,10.32
2042,Skoda Laura Ambition 2.0 TDI CR AT,Coimbatore,2014,85071,Diesel,Automatic,3,20.0,1968.0,138.1,5.0,,9.75,Skoda,Laura Ambition,6,
2043,Maruti Swift ZXI,Ahmedabad,2015,40000,Petrol,Manual,3,20.4,1197.0,81.8,5.0,,5.9,Maruti,Swift ZXI,5,
2044,Audi A4 2.0 TDI,Delhi,2013,67000,Diesel,Automatic,3,16.55,1968.0,147.51,5.0,,14.5,Audi,A4 2.0,7,
2045,Ford Fiesta 1.4 SXi TDCi ABS,Hyderabad,2009,55000,Diesel,Manual,2,17.8,1399.0,68.0,5.0,,2.4,Ford,Fiesta 1.4,11,
2046,Maruti SX4 Vxi BSIII,Mumbai,2008,62000,Petrol,Manual,2,15.0,1586.0,104.68,5.0,,2.11,Maruti,SX4 Vxi,12,
2047,Hyundai Grand i10 AT Asta,Coimbatore,2017,22526,Petrol,Automatic,3,18.9,1197.0,82.0,5.0,,7.6,Hyundai,Grand i10,3,
2048,Maruti Ritz AT,Hyderabad,2012,57788,Petrol,Automatic,3,17.16,1197.0,85.8,5.0,,3.6,Maruti,Ritz AT,8,
2049,Mahindra Scorpio 2.6 CRDe,Jaipur,2013,72000,Diesel,Manual,3,10.5,2179.0,120.0,8.0,,6.0,Mahindra,Scorpio 2.6,7,
2050,Mahindra Scorpio S4 7 Seater,Mumbai,2014,83128,Diesel,Manual,3,15.4,2179.0,120.0,7.0,,7.45,Mahindra,Scorpio S4,6,
2051,Maruti Alto LXi,Chennai,2011,75000,Petrol,Manual,3,19.7,796.0,46.3,5.0,,2.1,Maruti,Alto LXi,9,
2052,Renault Duster 110PS Diesel RxZ,Ahmedabad,2013,58000,Diesel,Manual,2,19.01,1461.0,108.45,5.0,,5.2,Renault,Duster 110PS,7,
